買權 (CALL),,,,,,,,賣權 (PUT),,,,,,
買進,賣出,成交,漲跌,未平倉,總量,時間,履約價,買進,賣出,成交,漲跌,未平倉,總量,時間
665,755,725,25,133,16,10:45:03,9900,16.5,17.5,16.5,2,6567,2094,13:44:26
585,670,595,-15,591,7,13:04:39,10000,21.5,22,22.5,3.5,10152,2138,13:43:53
510,520,515,0,635,15,12:17:26,10100,28.5,30,30,5,9647,2052,13:42:01
424,428,421,-8,999,10,13:38:27,10200,40.5,41,40.5,4.5,13244,5065,13:44:27
339,343,339,-3,2515,894,13:39:10,10300,55,56,56,5,9345,5273,13:44:53
263,265,262,0,4115,1022,13:43:31,10400,77,78,78,7,7143,3636,13:44:33
190,194,193,-2,5826,2351,13:44:00,10500,107,108,108,7,5631,5123,13:44:58
132,135,133,-2,7150,3092,13:44:48,10600,147,150,149,9,2635,3486,13:44:28
87,89,88,0,9029,4187,13:44:51,10700,201,205,203,8,2303,2529,13:44:26
54,55,55,2,11311,8020,13:44:53,10800,266,271,267,4,673,979,13:44:39
32.5,33,33,2,11103,7049,13:44:35,10900,345,349,343,2,473,481,13:34:10
19,20,19.5,1,15650,5793,13:44:51,11000,432,436,450,23,119,64,13:11:26
12.5,13,12.5,2.5,13201,13481,13:43:42,11100,520,535,535,10,31,2,13:01:13
2.1,8.1,8.1,2.3,2419,1960,13:43:25,11200,580,665,640,15,9,4,12:36:28
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
